date,level-current,level-chained,change-current,change-chained
1947-01-01,243.2,2182.7,4.7,-1
1947-04-01,246,2176.9,6,-0.8
1947-07-01,249.6,2172.4,17.3,6.4
1947-10-01,259.7,2206.5,9.6,6.2
1948-01-01,265.7,2239.7,10.7,6.8
1948-04-01,272.6,2276.7,10.1,2.3
1948-07-01,279.2,2289.8,1.7,0.5
1948-10-01,280.4,2292.4,-7.4,-5.4
1949-01-01,275,2260.8,-5.2,-1.4
1949-04-01,271.4,2253.1,2.3,4.2
1949-07-01,272.9,2276.4,-3.3,-3.3
1949-10-01,270.6,2257.4,16,16.7
1950-01-01,280.8,2346.1,14.3,12.7
1950-04-01,290.4,2417.7,26.8,16.4
1950-07-01,308.2,2511.1,16.2,7.9
1950-10-01,319.9,2559.2,21.6,5.5
1951-01-01,336,2594,10,7.1
1951-04-01,344.1,2638.9,8.8,8.5
1951-07-01,351.4,2693.3,5.6,0.9
1951-10-01,356.2,2699.2,4.2,4.3
1952-01-01,359.8,2728,1.4,0.8
1952-04-01,361,2733.8,7.6,2.9
1952-07-01,367.7,2753.5,15,13.8
1952-10-01,380.8,2843.9,7.7,7.7
1953-01-01,388,2896.8,3.9,3.1
1953-04-01,391.7,2919.2,-0.6,-2.2
1953-07-01,391.2,2902.8,-5.2,-5.9
1953-10-01,386,2858.8,-0.6,-1.9
1954-01-01,385.3,2845.2,0.8,0.4
1954-04-01,386.1,2848.3,5.1,4.6
1954-07-01,391,2880.5,9.2,8.1
1954-10-01,399.7,2936.9,14,11.9
1955-01-01,413.1,3020.7,8.4,6.7
1955-04-01,421.5,3069.9,8.5,5.5
1955-07-01,430.2,3111.4,6.5,2.4
1955-10-01,437.1,3130.1,2.5,-1.5
1956-01-01,439.7,3117.9,5.8,3.3
1956-04-01,446,3143.7,4.7,-0.3
1956-07-01,451.2,3140.9,8.5,6.8
1956-10-01,460.5,3192.6,8.3,2.6
1957-01-01,469.8,3213,1.9,-0.9
1957-04-01,472,3206,6.5,4
1957-07-01,479.5,3237.4,-3.8,-4.1
1957-10-01,474.9,3203.9,-6,-10
1958-01-01,467.5,3120.7,3.9,2.7
1958-04-01,472,3141.2,12.3,9.6
1958-07-01,485.8,3213.9,11.8,9.7
1958-10-01,499.6,3289,8.9,7.9
1959-01-01,510.3,3352.1,10,9.3
1959-04-01,522.7,3427.7,1.8,0.3
1959-07-01,525,3430.1,2.7,1.1
