date,level-current,level-chained,change-current,change-chained
1947-04-01,246.3,1932.3,6.0,-0.8
1947-07-01,250.1,1930.3,17.3,6.4
1947-10-01,260.3,1960.7,9.6,6.2
1948-01-01,266.2,1989.5,10.7,6.8
1948-04-01,272.9,2021.9,10.1,2.3
1948-07-01,279.5,2033.2,1.7,0.4
1948-10-01,280.7,2035.3,-7.4,-5.4
1949-01-01,275.4,2007.5,-5.2,-1.4
1949-04-01,271.7,2000.8,2.3,4.2
1949-07-01,273.3,2022.8,-3.3,-3.3
1949-10-01,271.0,2004.7,16.0,16.7
1950-01-01,281.2,2084.6,14.3,12.8
1950-04-01,290.7,2147.6,26.8,16.4
1950-07-01,308.5,2230.4,16.2,7.9
1950-10-01,320.3,2273.4,21.6,5.5
1951-01-01,336.4,2304.5,10.0,7.1
1951-04-01,344.5,2344.5,8.8,8.5
1951-07-01,351.8,2392.8,5.6,0.9
1951-10-01,356.6,2398.1,4.2,4.3
1952-01-01,360.2,2423.5,1.4,0.9
1952-04-01,361.4,2428.5,7.6,2.9
1952-07-01,368.1,2446.1,15.0,13.8
1952-10-01,381.2,2526.4,7.7,7.6
1953-01-01,388.5,2573.4,3.9,3.1
1953-04-01,392.3,2593.5,-0.6,-2.2
1953-07-01,391.7,2578.9,-5.2,-5.9
1953-10-01,386.5,2539.8,-0.6,-1.9
1954-01-01,385.9,2528.0,0.8,0.4
1954-04-01,386.7,2530.7,5.1,4.6
1954-07-01,391.6,2559.4,9.2,8.1
1954-10-01,400.3,2609.3,14.0,11.9
1955-01-01,413.8,2683.8,8.4,6.7
1955-04-01,422.2,2727.5,8.5,5.5
1955-07-01,430.9,2764.1,6.5,2.4
1955-10-01,437.8,2780.8,2.5,-1.5
1956-01-01,440.5,2770.0,5.8,3.3
1956-04-01,446.8,2792.9,4.7,-0.4
1956-07-01,452.0,2790.6,8.5,6.7
1956-10-01,461.3,2836.2,8.3,2.6
1957-01-01,470.6,2854.5,1.9,-0.9
1957-04-01,472.8,2848.2,6.5,4.0
1957-07-01,480.3,2875.9,-3.8,-4.1
1957-10-01,475.7,2846.4,-6.0,-10.0
1958-01-01,468.4,2772.7,3.9,2.7
1958-04-01,472.8,2790.9,12.3,9.6
1958-07-01,486.7,2855.5,11.8,9.7
1958-10-01,500.4,2922.3,8.9,7.9
1959-01-01,511.1,2976.6,10.0,9.3
1959-04-01,524.2,3049.0,1.8,0.3
1959-07-01,525.2,3043.1,2.7,1.1
1959-10-01,529.3,3055.1,11.1,9.3
1960-01-01,543.3,3123.2,-1.2,-2.1
1960-04-01,542.7,3111.3,3.4,2.0
1960-07-01,546.0,3119.1,-3.9,-5.0
1960-10-01,541.1,3081.3,3.6,2.7
1961-01-01,545.9,3102.3,8.0,7.0
1961-04-01,557.4,3159.9,9.0,7.9
1961-07-01,568.2,3212.6,9.4,8.1
1961-10-01,581.6,3277.7,9.6,7.3
1962-01-01,595.2,3336.8,4.3,3.7
1962-04-01,602.6,3372.7,5.9,5.0
1962-07-01,609.6,3404.8,2.2,1.3
1962-10-01,613.1,3418.0,6.3,4.4
1963-01-01,622.7,3456.1,5.3,4.6
1963-04-01,631.8,3501.1,9.7,9.1
1963-07-01,645.0,3569.5,6.0,2.6
1963-10-01,654.8,3595.0,10.1,8.7
1964-01-01,671.1,3672.7,5.4,4.4
1964-04-01,680.8,3716.4,8.1,6.4
1964-07-01,692.8,3766.9,3.1,1.2
1964-10-01,698.4,3780.2,12.3,10.0
1965-01-01,719.2,3873.5,7.1,5.1
1965-04-01,732.4,3926.4,10.9,9.2
1965-07-01,750.2,4006.2,12.6,9.5
1965-10-01,773.1,4100.6,13.0,10.1
1966-01-01,797.3,4201.9,4.7,1.4
1966-04-01,807.2,4219.1,7.5,3.4
1966-07-01,820.8,4249.2,6.8,3.3
1966-10-01,834.9,4285.6,5.3,3.6
1967-01-01,846.0,4324.9,2.3,0.2
1967-04-01,851.1,4328.7,7.9,3.8
1967-07-01,866.6,4366.1,7.7,3.0
1967-10-01,883.2,4401.2,13.3,8.4
1968-01-01,911.1,4490.6,11.4,6.9
1968-04-01,936.3,4566.4,7.2,3.1
1968-07-01,952.3,4599.3,7.4,1.6
1968-10-01,970.1,4619.8,10.9,6.4
1969-01-01,995.4,4691.6,6.5,1.2
1969-04-01,1011.4,4706.7,8.6,2.7
1969-07-01,1032.0,4736.1,3.2,-1.9
1969-10-01,1040.7,4715.5,5.1,-0.6
1970-01-01,1053.5,4707.1,6.3,0.6
1970-04-01,1070.1,4715.4,7.2,3.7
1970-07-01,1088.5,4757.2,0.9,-4.2
1970-10-01,1091.5,4708.3,18.2,11.3
1971-01-01,1137.8,4834.3,7.7,2.2
1971-04-01,1159.4,4861.9,7.6,3.3
1971-07-01,1180.3,4900.0,4.4,0.9
1971-10-01,1193.6,4914.3,14.3,7.6
1972-01-01,1233.8,5002.4,12.1,9.4
1972-04-01,1270.1,5118.3,7.9,3.8
1972-07-01,1293.8,5165.4,12.4,6.9
1972-10-01,1332.0,5251.2,15.4,10.3
1973-01-01,1380.7,5380.5,11.0,4.4
1973-04-01,1417.6,5441.5,5.8,-2.1
1973-07-01,1436.8,5411.9,12.4,3.8
1973-10-01,1479.1,5462.4,4.1,-3.4
1974-01-01,1494.7,5417.0,10.8,1.0
